ev_tdlam_before,loss_ent,loss_kl,EpThisIter,loss_pol_entpen,EpRewMean,EpLenMean,TimestepsSoFar,TimeElapsed,loss_pol_surr,loss_vf_loss,EpisodesSoFar
0.6439743936061859,0.7706394,3.1296262e-05,2,0.0,0.46,3010.0,19075072,28827.351049661636,-0.0008353065,0.0013930554,7020
-1.5368530750274658,0.73843515,3.0699077e-05,1,0.0,0.46,3010.0,19079168,28831.723487377167,-0.0012004685,6.934032e-05,7021
-0.9393326044082642,0.7674665,2.818194e-05,1,0.0,0.46,3010.0,19083264,28835.800467967987,-0.0010528365,4.4856457e-05,7022
0.4661041498184204,0.77031744,2.6122587e-05,2,0.0,0.47,3010.0,19087360,28839.481619358063,-0.0008031737,0.00048311238,7024
-0.8521624803543091,0.7573265,2.7305996e-05,1,0.0,0.46,3010.0,19091456,28843.57254242897,-0.0010317148,0.00012568905,7025
0.5109447240829468,0.7874686,4.7646816e-05,1,0.0,0.45,3010.0,19095552,28847.454427480698,-0.0008802328,0.0032702226,7026
0.5807473063468933,0.7614565,4.4165903e-05,2,0.0,0.43,3010.0,19099648,28851.447995185852,-0.00092053646,0.0041906056,7028
0.6508292257785797,0.7654429,3.306373e-05,1,0.0,0.44,3010.0,19103744,28855.778637886047,-0.0009975553,0.0011205241,7029
-0.33517026901245117,0.7911284,4.952164e-05,1,0.0,0.44,3010.0,19107840,28859.21425819397,-0.00082062255,0.0006999264,7030
0.5839528739452362,0.7841645,3.1768734e-05,2,0.0,0.43,3010.0,19111936,28862.51447033882,-0.00096154405,0.0018448944,7032
0.41305893659591675,0.7710217,2.3777888e-05,1,0.0,0.4,3010.0,19116032,28865.980607509613,-0.0008978065,0.003606581,7033
0.3774857521057129,0.7862417,2.7050994e-05,2,0.0,0.37,3010.0,19120128,28871.015481710434,-0.0007346347,0.0035085217,7035
0.6738943755626678,0.8079399,2.155724e-05,1,0.0,0.38,3010.0,19124224,28875.40695309639,-0.0009322469,0.0014934564,7036
0.6728832721710205,0.74754304,1.7371838e-05,1,0.0,0.38,3010.0,19128320,28881.2007291317,-0.0006395248,0.0004670742,7037
0.6335671544075012,0.77781785,3.5271987e-05,2,0.0,0.38,3010.0,19132416,28887.05900812149,-0.000855281,0.004618231,7039
0.7996406257152557,0.7792507,2.878891e-05,1,0.0,0.4,3010.0,19136512,28891.799875974655,-0.0011639062,0.00076738454,7040
0.6292833089828491,0.75599486,3.319728e-05,1,0.0,0.39,3010.0,19140608,28897.142966985703,-0.0010071201,0.0012098287,7041
0.7900533974170685,0.80040085,2.9225488e-05,2,0.0,0.38,3010.0,19144704,28901.21702647209,-0.00093344913,0.0009113097,7043
0.6498572826385498,0.783097,2.908942e-05,1,0.0,0.38,3010.0,19148800,28904.542424678802,-0.00083432486,0.00066630513,7044
0.3163107633590698,0.814156,2.9948278e-05,1,0.0,0.37,3010.0,19152896,28907.986421585083,-0.0010094373,0.005758738,7045
